Регион;Код;2017;2018;2019;2020;2021;2022;2023
Забайкальский край;760;;;;;;;-2074.0
Республика Саха (Якутия);980;;;;;;;-2405.0
Камчатский край;300;;;;;;;-174.0
Приморский край;500;;;;;;;-200.0
Хабаровский край;800;;;;;;;-418.0
Амурская область;100;;;;;;;-932.0
Магаданская область;440;;;;;;;62.0
Сахалинская область;640;;;;;;;-263.0
Еврейская автономная область;990;;;;;;;-234.0
Чукотский автономный округ;770;;;;;;;-14.0
Российская Федерация;643;0.0;0.0;-1.0;-1.0;0.0;1.0;53937.0
Центральный федеральный округ;30;70584.0;74766.0;53195.0;20775.0;35693.0;54906.0;47219.0
Белгородская область;140;-472.0;-156.0;-46.0;-136.0;-581.0;-4160.0;-1661.0
Брянская область;150;-2276.0;-2693.0;-1689.0;-134.0;-1015.0;-1927.0;-1108.0
Владимирская область;170;-2569.0;-2888.0;-2138.0;-1714.0;-2150.0;-2242.0;-2144.0
Воронежская область;200;-90.0;450.0;1474.0;1227.0;914.0;81.0;1009.0
Ивановская область;240;-1807.0;-2236.0;-1340.0;-960.0;-647.0;-1523.0;-923.0
Калужская область;290;-1342.0;-1233.0;-1706.0;959.0;2612.0;-27.0;598.0
Костромская область;340;-1128.0;-1658.0;-932.0;-54.0;-601.0;-794.0;-876.0
Курская область;380;-1708.0;-1883.0;-623.0;-313.0;-1145.0;-1318.0;-296.0
Липецкая область;420;-1325.0;-1631.0;-870.0;-256.0;-784.0;-1704.0;-1229.0
Московская область;460;37405.0;49371.0;38894.0;18167.0;34026.0;27686.0;31034.0
Орловская область;540;-1592.0;-1720.0;-1495.0;-1270.0;-1461.0;-1542.0;-1093.0
Рязанская область;610;-773.0;-941.0;-824.0;-147.0;-175.0;-751.0;-41.0
Смоленская область;660;-1761.0;-2030.0;-1201.0;-495.0;-1102.0;-1433.0;-745.0
Тамбовская область;680;-2115.0;-2610.0;-1745.0;-610.0;-1282.0;-1766.0;-1030.0
Тверская область;280;-3074.0;-3317.0;-2522.0;-1255.0;-1597.0;-1739.0;-1084.0
Тульская область;700;-3224.0;-3560.0;-2027.0;-805.0;-1212.0;-1896.0;-300.0
Ярославская область;780;297.0;756.0;111.0;-333.0;-329.0;-328.0;609.0
Город Москва столица Российской Федерации город федерального значения;450;58138.0;52745.0;31874.0;8904.0;12222.0;50289.0;26499.0
Северо-Западный федеральный округ;31;25793.0;22826.0;22863.0;15268.0;19723.0;14573.0;19812.0
Республика Карелия;860;-1032.0;-722.0;-488.0;-19.0;99.0;118.0;89.0
Республика Коми;870;-4890.0;-4910.0;-4649.0;-2836.0;-3355.0;-2824.0;-1047.0
Архангельская область;110;-4602.0;-3850.0;-2302.0;-1552.0;-1945.0;-1512.0;-656.0
Ненецкий автономный округ (Архангельская область);111;-152.0;-133.0;-42.0;31.0;-107.0;-36.0;548.0
Архангельская область (кроме Ненецкого автономного округа);110;-4450.0;-3717.0;-2260.0;-1583.0;-1838.0;-1476.0;-1204.0
Вологодская область;190;-1881.0;-2271.0;-1706.0;-833.0;-945.0;-1237.0;-789.0
