Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Воронежская область;200;Женщины;Сельская местность;12306.0;12062.0;12361.0;10650.0;9847.0;10273.0;9880.0
Ивановская область;240;Женщины;Сельская местность;3389.0;3162.0;3262.0;2887.0;2722.0;2375.0;2434.0
Калужская область;290;Женщины;Сельская местность;4692.0;5095.0;3891.0;3896.0;5141.0;4601.0;4928.0
Костромская область;340;Женщины;Сельская местность;4586.0;4654.0;4120.0;3519.0;2990.0;2658.0;1997.0
Курская область;380;Женщины;Сельская местность;5630.0;6183.0;6216.0;4963.0;5059.0;4861.0;4192.0
Липецкая область;420;Женщины;Сельская местность;8139.0;8202.0;8239.0;7218.0;7401.0;6314.0;5693.0
Московская область;460;Женщины;Сельская местность;32904.0;38541.0;34799.0;28772.0;30140.0;30611.0;34312.0
Орловская область;540;Женщины;Сельская местность;3704.0;4074.0;3490.0;2780.0;2526.0;2530.0;2616.0
Рязанская область;610;Женщины;Сельская местность;6030.0;6200.0;5782.0;5186.0;5556.0;5330.0;5530.0
Смоленская область;660;Женщины;Сельская местность;5157.0;4968.0;5117.0;4349.0;4270.0;3897.0;3908.0
Тамбовская область;680;Женщины;Сельская местность;5932.0;5804.0;5813.0;4859.0;4313.0;3510.0;3509.0
Тверская область;280;Женщины;Сельская местность;5828.0;5550.0;5467.0;4753.0;5158.0;4707.0;4625.0
Тульская область;700;Женщины;Сельская местность;6771.0;6647.0;5927.0;5577.0;5680.0;5373.0;5243.0
Ярославская область;780;Женщины;Сельская местность;6001.0;5668.0;5693.0;5395.0;5179.0;5048.0;5022.0
Город Москва столица Российской Федерации город федерального значения;450;Женщины;Сельская местность;7094.0;10630.0;9512.0;3273.0;12322.0;12322.0;12322.0
Северо-Западный федеральный округ;31;Женщины;Сельская местность;62211.0;69413.0;61198.0;44683.0;48428.0;45921.0;45246.0
Республика Карелия;860;Женщины;Сельская местность;3098.0;3036.0;2679.0;2234.0;2484.0;2028.0;2037.0
Республика Коми;870;Женщины;Сельская местность;4300.0;4162.0;3804.0;3530.0;3346.0;3061.0;3022.0
Архангельская область;110;Женщины;Сельская местность;6073.0;6333.0;5949.0;4438.0;4671.0;4965.0;5250.0
Ненецкий автономный округ (Архангельская область);111;Женщины;Сельская местность;257.0;282.0;287.0;203.0;190.0;227.0;360.0
Архангельская область (кроме Ненецкого автономного округа);110;Женщины;Сельская местность;5816.0;6051.0;5662.0;4235.0;4481.0;4738.0;4890.0
Вологодская область;190;Женщины;Сельская местность;7194.0;6430.0;6196.0;5282.0;4921.0;4495.0;3807.0
Калининградская область;270;Женщины;Сельская местность;4248.0;4402.0;4912.0;4725.0;5948.0;5609.0;5091.0
Ленинградская область;410;Женщины;Сельская местность;26610.0;34868.0;27011.0;14666.0;18140.0;17540.0;17635.0
Мурманская область;470;Женщины;Сельская местность;2061.0;2039.0;1811.0;1366.0;1299.0;1273.0;1627.0
Новгородская область;490;Женщины;Сельская местность;3963.0;3634.0;3812.0;3902.0;3694.0;3299.0;2912.0
Псковская область;580;Женщины;Сельская местность;4664.0;4509.0;5024.0;4540.0;3925.0;3651.0;3865.0
Южный федеральный округ (с 29.07.2016);40;Женщины;Сельская местность;77051.0;80467.0;78008.0;72828.0;73626.0;69771.0;76891.0
Республика Адыгея (Адыгея);790;Женщины;Сельская местность;4238.0;4416.0;5117.0;4582.0;5410.0;5365.0;5570.0
Республика Калмыкия;850;Женщины;Сельская местность;3517.0;3332.0;3104.0;2682.0;2739.0;2629.0;3274.0
Республика Крым;350;Женщины;Сельская местность;7764.0;8233.0;9375.0;11195.0;10279.0;9690.0;10028.0
Краснодарский край;300;Женщины;Сельская местность;32507.0;33839.0;30413.0;26446.0;26231.0;23980.0;28454.0
Астраханская область;120;Женщины;Сельская местность;3375.0;3059.0;3382.0;3388.0;4268.0;3748.0;3871.0
Волгоградская область;180;Женщины;Сельская местность;8050.0;9238.0;7631.0;6672.0;6277.0;6012.0;6063.0
Ростовская область;600;Женщины;Сельская местность;17409.0;18184.0;18902.0;17782.0;18333.0;18279.0;19564.0
Город федерального значения Севастополь;670;Женщины;Сельская местность;191.0;166.0;84.0;81.0;89.0;68.0;67.0
Северо-Кавказский федеральный округ;38;Женщины;Сельская местность;39724.0;40769.0;40006.0;34873.0;35318.0;35608.0;34754.0
Республика Дагестан;820;Женщины;Сельская местность;11072.0;10893.0;10919.0;9389.0;9308.0;10545.0;9837.0
Республика Ингушетия;260;Женщины;Сельская местность;1038.0;1604.0;1235.0;1179.0;1060.0;1211.0;1016.0
Кабардино-Балкарская Республика;830;Женщины;Сельская местность;1978.0;2112.0;1950.0;1734.0;1701.0;1969.0;2026.0
Карачаево-Черкесская Республика;910;Женщины;Сельская местность;2960.0;2868.0;3151.0;2987.0;3233.0;2921.0;3093.0
Республика Северная Осетия-Алания;900;Женщины;Сельская местность;1880.0;1918.0;1428.0;1266.0;1150.0;910.0;1019.0
Чеченская Республика;960;Женщины;Сельская местность;5461.0;5699.0;5677.0;4097.0;4284.0;4002.0;4057.0
Ставропольский край;700;Женщины;Сельская местность;15335.0;15675.0;15646.0;14221.0;14582.0;14050.0;13706.0
Приволжский федеральный округ;33;Женщины;Сельская местность;150368.0;150130.0;140946.0;127101.0;132427.0;121861.0;122429.0
