Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Тольятти;364;-478.63;-395.09;-329.71;-328.68;-190.48;-110.09;-398.02;-349.9;-418.25
Саратов;634;-20.36;71.04;74.43;55.0;-26.02;-72.74;-200.95;22.94;-35.44
Балаково;634;-299.78;-202.66;-281.07;-158.39;43.52;112.14;142.0;119.29;114.2
Ульяновск;734;58.91;111.75;111.76;86.81;-43.11;44.26;94.25;-100.06;-40.81
Димитровград;734;-371.69;-237.29;-231.47;-183.2;-26.01;-22.98;-94.28;-55.62;-7.86
Курган;374;-275.82;-796.47;-855.05;-273.67;-306.75;-135.21;-450.73;-177.39;-210.38
Екатеринбург;654;167.9;55.52;171.49;225.06;-22.53;19.51;-35.37;-252.53;-329.59
Каменск-Уральский;654;-155.63;12.26;-136.03;-400.9;-190.73;-246.38;38.75;28.11;56.46
Нижний Тагил;654;-67.98;-69.59;-192.03;-70.18;-577.8;-542.18;-212.28;-526.54;-320.55
Первоуральск;654;-202.99;-281.29;-246.14;-862.95;-850.99;-554.54;-594.24;-421.95;-140.27
Тюмень;714;362.04;392.74;400.14;323.33;295.52;263.97;262.55;177.54;83.81
Ханты-Мансийск;711;5.7;12.95;-112.4;88.65;10.36;-50.64;94.68;-37.56;161.44
Сургут;711;73.21;234.36;-25.68;182.01;33.72;130.0;138.05;124.26;263.43
Нижневартовск;711;-152.34;-42.92;-274.02;-212.26;-157.1;-133.49;-163.79;-58.47;-37.96
Салехард;711;-225.12;-217.19;55.05;59.12;97.42;-102.52;57.06;-18.93;34.05
Новый Уренгой;711;-126.08;24.44;-42.67;19.87;-56.78;-231.51;-175.7;-277.75;-251.79
Ноябрьск;711;-453.33;-298.67;-272.35;-455.02;-118.09;67.54;-106.95;-94.24;29.85
Челябинск;754;101.29;31.95;13.64;-90.01;-265.73;-208.9;-352.81;-118.86;-355.8
Миасс;754;-73.35;17.23;16.05;58.56;151.4;199.14;129.37;99.57;105.67
Горно-Алтайск;844;-5.0;-17.14;-127.88;62.35;43.13;-27.41;-46.17;-144.37;-150.88
Улан-Удэ;814;1.98;-114.79;50.16;-71.68;34.8;-115.86;-96.34;-89.76;-35.77
Кызыл;934;-44.69;-315.57;-54.35;-45.2;-90.36;-320.77;202.15;226.48;123.03
Абакан;954;208.96;230.61;236.06;198.9;70.04;120.26;50.72;60.69;77.11
Барнаул;140;-217.41;-372.69;-234.55;4.19;34.02;115.0;-70.08;-77.65;-56.48
Бийск;140;-89.32;-26.9;-27.78;-29.18;30.34;168.21;112.67;102.82;101.79
Рубцовск;141;111.57;-56.12;-79.1;-155.19;-25.68;-169.33;-151.62;-92.11;-143.25
Чита;764;175.39;197.48;83.26;30.89;127.02;-92.13;28.07;-18.01;-7.01
Красноярск;440;193.99;163.86;29.04;24.44;-113.87;-32.32;161.57;150.99;183.4
Ачинск;440;-379.87;-117.67;76.51;58.43;205.47;29.27;86.69;-20.54;37.82
Норильск;442;-121.82;-159.71;-40.61;-25.94;-89.01;-110.67;-70.43;-115.55;65.61
Иркутск;254;-22.58;-174.67;-166.9;-124.9;-389.52;-237.69;-155.51;-452.15;-437.0
Ангарск;254;-67.3;-80.35;-80.35;39.15;20.33;-77.15;-417.57;-213.35;87.81
Братск;254;-537.49;-503.54;-363.03;-208.24;-72.08;35.35;-122.09;-68.53;24.7
Кемерово;324;197.56;150.02;145.95;-13.97;-272.01;-71.67;-277.15;-364.95;-274.51
Новокузнецк;324;-161.57;-130.73;-24.36;-56.87;-178.18;-95.55;-156.12;-73.13;-79.51
Прокопьевск;324;-544.58;-419.81;-450.37;-244.35;-110.01;-224.31;-300.16;-250.25;-269.05
Новосибирск;504;156.51;122.91;8.49;22.65;112.28;-16.86;-14.01;-150.3;-57.23
Бердск;504;-11.83;116.88;152.99;238.1;153.66;-26.01;218.69;134.59;110.41
Омск;524;-84.74;-211.43;-294.84;-346.48;-391.52;-325.71;-360.94;-292.83;-111.46
Томск;694;107.85;69.25;10.0;-9.42;-254.4;-631.97;-236.07;-277.04;-289.5
Якутск;984;126.62;62.66;66.21;165.8;55.98;-24.27;199.24;110.55;216.87
Петропавловск-Камчатский;304;-305.65;-263.41;-220.7;-177.19;-133.38;-88.97;-64.27;-36.72;58.25
Владивосток;540;-24.55;10.29;11.11;24.51;10.56;-89.67;43.0;-147.12;-56.31
