Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Чувашская Республика - Чувашия;970;Женщины;Городская местность;402.0;957.0;76.0;133.0;1412.0;-26.0;240.0
Пермский край;570;Женщины;Городская местность;-1328.0;-1605.0;-1277.0;-1456.0;-2059.0;-1802.0;277.0
Кировская область;330;Женщины;Городская местность;1189.0;968.0;1374.0;1553.0;1412.0;1294.0;1721.0
Нижегородская область;220;Женщины;Городская местность;-2029.0;-1349.0;1534.0;1980.0;1102.0;-17.0;70.0
Оренбургская область;530;Женщины;Городская местность;-2112.0;-1912.0;855.0;747.0;-474.0;-1798.0;-1392.0
Пензенская область;560;Женщины;Городская местность;-898.0;-1107.0;139.0;15.0;-1088.0;-762.0;-337.0
Самарская область;360;Женщины;Городская местность;-4343.0;-4014.0;-962.0;-1304.0;-1000.0;-1597.0;-1906.0
Саратовская область;630;Женщины;Городская местность;-960.0;-1792.0;-159.0;-241.0;-887.0;-381.0;447.0
Саратов;634;Женщины;Городская местность;1322.0;1322.0;1322.0;1322.0;1322.0;1322.0;1322.0
Балаково;634;Женщины;Городская местность;-454.0;-454.0;-454.0;-454.0;-454.0;-454.0;-454.0
Ульяновская область;730;Женщины;Городская местность;-97.0;-209.0;-605.0;327.0;5.0;-628.0;-215.0
Уральский федеральный округ;34;Женщины;Городская местность;-1450.0;-1036.0;-6461.0;2896.0;-912.0;-2178.0;2426.0
Курганская область;370;Женщины;Городская местность;-2308.0;-1256.0;-1261.0;-291.0;-990.0;-416.0;-302.0
Свердловская область;650;Женщины;Городская местность;1457.0;1615.0;-3449.0;149.0;565.0;-1355.0;-866.0
Тюменская область;710;Женщины;Городская местность;1232.0;2572.0;669.0;3420.0;1847.0;643.0;6183.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;Женщины;Городская местность;-4585.0;-2125.0;-3318.0;-402.0;-402.0;-402.0;-402.0
Ямало-Ненецкий автономный округ (Тюменская область);711;Женщины;Городская местность;-1733.0;-1538.0;-1233.0;-284.0;-399.0;-1280.0;-231.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;Женщины;Городская местность;7550.0;6235.0;5220.0;4106.0;4063.0;2545.0;1462.0
Челябинская область;750;Женщины;Городская местность;-1831.0;-3967.0;-2420.0;-382.0;-2334.0;-1050.0;-2589.0
Сибирский федеральный округ;35;Женщины;Городская местность;-10222.0;-10222.0;-10222.0;-10222.0;-10222.0;-10222.0;-10222.0
Сибирский федеральный округ (с 03.11.2018);41;Женщины;Городская местность;-8005.0;-8005.0;-11308.0;-8165.0;-7318.0;-9303.0;-2625.0
Республика Алтай;840;Женщины;Городская местность;-289.0;229.0;159.0;-19.0;-113.0;-186.0;-164.0
Республика Тыва;930;Женщины;Городская местность;-164.0;-14.0;-203.0;-521.0;132.0;505.0;-6.0
Республика Хакасия;950;Женщины;Городская местность;964.0;440.0;141.0;330.0;109.0;309.0;572.0
Алтайский край;100;Женщины;Городская местность;-1824.0;-14.0;889.0;1504.0;-111.0;-133.0;-53.0
